measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources
"% of all U.S. abortions, by state of occurrence",0.7,AL,Alabama,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.1,AK,Alaska,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.4,AZ,Arizona,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.4,AR,Arkansas,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",15.4,CA,California,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.4,CO,Colorado,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.4,CT,Connecticut,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.2,DE,Delaware,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.7,DC,"District of Columbia",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",8.2,FL,Florida,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
